university,year,rank_display,score,link,country,city,region,type,student_faculty_ratio,size
Emory University,2017,149,54.1,https://www.topuniversities.com/universities/emory-university,United States,Atlanta,North America,Private,5,L
National Tsing Hua University,2017,151,53.9,https://www.topuniversities.com/universities/national-tsing-hua-university,Taiwan,Hsinchu City,Asia,Public,10,L
University of Waterloo,2017,152,53.8,https://www.topuniversities.com/universities/university-waterloo,Canada,Waterloo,North America,Public,18,XL
Indian Institute of Science,2017,152,53.8,https://www.topuniversities.com/universities/indian-institute-science,India,Bangalore,Asia,Public,9,S
Université catholique de Louvain (UCLouvain),2017,154,53.4,https://www.topuniversities.com/universities/universite-catholique-de-louvain-uclouvain,Belgium,Louvain-la-Neuve,Europe,Private,19,L
University of Vienna,2017,155,53.3,https://www.topuniversities.com/universities/university-vienna,Austria,Vienna,Europe,Public,12,XL
"University of California, Irvine",2017,156,53.2,https://www.topuniversities.com/universities/university-california-irvine,United States,Irvine,North America,Public,13,XL
University of Liverpool,2017,157,53.1,https://www.topuniversities.com/universities/university-liverpool,United Kingdom,Liverpool,Europe,Public,10,L
Dartmouth College,2017,158,53,https://www.topuniversities.com/universities/dartmouth-college,United States,Hanover,North America,Private,8,M
University of Bath,2017,159,52.7,https://www.topuniversities.com/universities/university-bath,United Kingdom,Bath,Europe,Public,12,L
Universitat de Barcelona,2017,160,52.6,https://www.topuniversities.com/universities/universitat-de-barcelona,Spain,Barcelona,Europe,Public,15,XL
Texas A&M University,2017,160,52.6,https://www.topuniversities.com/universities/texas-am-university,United States,Galveston,North America,Public,21,XL
Michigan State University,2017,160,52.6,https://www.topuniversities.com/universities/michigan-state-university,United States,East Lansing,North America,Public,15,XL
Albert-Ludwigs-Universitaet Freiburg,2017,163,52.2,https://www.topuniversities.com/universities/albert-ludwigs-universitaet-freiburg,Germany,Freiburg im Breisgau,Europe,Public,11,L
Technische Universität Berlin (TU Berlin),2017,164,52.1,https://www.topuniversities.com/universities/technische-universitat-berlin-tu-berlin,Germany,Berlin,Europe,Public,10,L
The University of Exeter,2017,164,52.1,https://www.topuniversities.com/universities/university-exeter,United Kingdom,Exeter,Europe,Public,10,L
CentraleSupélec,2017,164,52.3,https://www.topuniversities.com/universities/centralesupelec,France,Saint-Aubin,Europe,Public,,S
Eberhard Karls Universität Tübingen,2017,167,51.9,https://www.topuniversities.com/universities/eberhard-karls-universitat-tubingen,Germany,Tübingen,Europe,Public,5,L
Newcastle University,2017,168,51.8,https://www.topuniversities.com/universities/newcastle-university,United Kingdom,Newcastle upon Tyne,Europe,Public,10,L
University of Otago,2017,169,51.3,https://www.topuniversities.com/universities/university-otago,New Zealand,Dunedin,Oceania,Public,14,L
University of Colorado Boulder,2017,170,51.2,https://www.topuniversities.com/universities/university-colorado-boulder,United States,Boulder,North America,Public,11,XL
Hanyang University,2017,171,50.6,https://www.topuniversities.com/universities/hanyang-university,South Korea,Seoul,Asia,Private,7,L
University of Virginia,2017,172,50.5,https://www.topuniversities.com/universities/university-virginia,United States,Charlottesville,North America,Public,8,L
Maastricht University ,2017,173,50.3,https://www.topuniversities.com/universities/maastricht-university,Netherlands,Maastricht,Europe,Public,13,L
