university,year,rank_display,score,link,country,city,region,type,student_faculty_ratio,size
Universiti Kebangsaan Malaysia (UKM),2017,302,36.7,https://www.topuniversities.com/universities/universiti-kebangsaan-malaysia-ukm,Malaysia,Bangi,Asia,Public,6,L
Indian Institute of Technology Kanpur (IITK),2017,302,36.7,https://www.topuniversities.com/universities/indian-institute-technology-kanpur-iitk,India,Kanpur,Asia,Public,13,M
Politecnico di Torino,2017,305,36.4,https://www.topuniversities.com/universities/politecnico-di-torino,Italy,Turin,Europe,Public,29,XL
Curtin University,2017,306,36.3,https://www.topuniversities.com/universities/curtin-university,Australia,Perth,Oceania,Public,14,L
Bauman Moscow State Technical University,2017,306,36.3,https://www.topuniversities.com/universities/bauman-moscow-state-technical-university,Russia,Moscow,Europe,Public,4,L
Universidad Austral,2017,308,36.2,https://www.topuniversities.com/universities/universidad-austral,Argentina,Pilar,Latin America,Private,7,S
National Yang Ming University,2017,308,34.4,https://www.topuniversities.com/universities/national-yang-ming-university,Taiwan,Taipei City,Asia,Public,4,S
National Taiwan Normal University,2017,310,36,https://www.topuniversities.com/universities/national-taiwan-normal-university,Taiwan,Taipei City,Asia,Public,8,M
Pontificia Universidad Católica Argentina,2017,310,36,https://www.topuniversities.com/universities/pontificia-universidad-catolica-argentina,Argentina,Buenos Aires,Latin America,Private,4,L
Rensselaer Polytechnic Institute,2017,310,36,https://www.topuniversities.com/universities/rensselaer-polytechnic-institute,United States,Troy,North America,Private,12,M
Indian Institute of Technology Kharagpur (IIT-KGP),2017,313,35.9,https://www.topuniversities.com/universities/indian-institute-technology-kharagpur-iit-kgp,India,Kharagpur,Asia,Public,15,M
"City, University of London",2017,314,35.8,https://www.topuniversities.com/universities/city-university-london,United Kingdom,London,Europe,Public,16,L
Nankai University,2017,315,35.7,https://www.topuniversities.com/universities/nankai-university,China (Mainland),Tianjin,Asia,Public,11,XL
Tongji University,2017,315,35.7,https://www.topuniversities.com/universities/tongji-university,China (Mainland),Shanghai,Asia,Public,11,XL
Université de Liège,2017,315,35.7,https://www.topuniversities.com/universities/universite-de-liege,Belgium,Arlon,Europe,Public,13,L
Xi’an Jiaotong University,2017,318,35.6,https://www.topuniversities.com/universities/xian-jiaotong-university,China (Mainland),Xi'an,Asia,Public,12,XL
Tampere University of Technology ,2017,319,30,https://www.topuniversities.com/universities/tampere-university-technology,Finland,Tampere,Europe,Public,8,M
Ben-Gurion University of The Negev,2017,320,35.4,https://www.topuniversities.com/universities/ben-gurion-university-negev,Israel,Be'er Sheva,Asia,Public,15,L
Universidade Federal do Rio de Janeiro,2017,321,35.3,https://www.topuniversities.com/universities/universidade-federal-do-rio-de-janeiro,Brazil,Rio de Janeiro,Latin America,Public,11,XL
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),2017,321,35.3,https://www.topuniversities.com/universities/universitat-politecnica-de-catalunya-barcelonatech-upc,Spain,Barcelona,Europe,Public,9,L
University of Porto,2017,323,35.2,https://www.topuniversities.com/universities/university-porto,Portugal,Porto,Europe,Public,14,L
University of Waikato,2017,324,35.1,https://www.topuniversities.com/universities/university-waikato,New Zealand,Hamilton ,Oceania,Public,14,M
Universitas Indonesia,2017,325,35,https://www.topuniversities.com/universities/universitas-indonesia,Indonesia,Depok,Asia,Public,10,XL
University of Victoria (UVic),2017,325,35,https://www.topuniversities.com/universities/university-victoria-uvic,Canada,Victoria,North America,Public,26,L
Université de Montpellier,2017,327,34.8,https://www.topuniversities.com/universities/universite-de-montpellier,France,Montpellier,Europe,Public,17,XL
Heriot-Watt University,2017,327,34.8,https://www.topuniversities.com/universities/heriot-watt-university,United Kingdom,Edinburgh,Europe,Public,12,M
Tokyo Medical and Dental University (TMDU),2017,329,34.7,https://www.topuniversities.com/universities/tokyo-medical-dental-university-tmdu,Japan,Tokyo,Asia,Public,3,S
University of Lisbon ,2017,330,34.6,https://www.topuniversities.com/universities/university-lisbon,Portugal,Lisbon ,Europe,Public,14,XL
Universiti Sains Malaysia (USM),2017,330,34.6,https://www.topuniversities.com/universities/universiti-sains-malaysia-usm,Malaysia,Gelugor,Asia,Public,8,L
Tilburg University,2017,330,34.6,https://www.topuniversities.com/universities/tilburg-university,Netherlands,Tilburg,Europe,Public,15,M
"Essex, University of",2017,330,34.6,https://www.topuniversities.com/universities/essex-university,United Kingdom,Colchester,Europe,Public,14,L
Yeshiva University,2017,330,34.6,https://www.topuniversities.com/universities/yeshiva-university,United States,New York City,North America,Private,10,S
Ewha Womans University,2017,335,34.5,https://www.topuniversities.com/universities/ewha-womans-university,South Korea,Seoul,Asia,Private,7,L
Griffith University,2017,336,34.4,https://www.topuniversities.com/universities/griffith-university,Australia,Nathan,Oceania,Public,17,XL
Gwangju Institute of Science and Technology (GIST),2017,337,34.3,https://www.topuniversities.com/universities/gwangju-institute-science-technology-gist,South Korea,Gwangju,Asia,Public,10,S
Università di Padova,2017,338,39.6,https://www.topuniversities.com/universities/universita-di-padova,Italy,Padua,Europe,Public,17,XL
University of Jyväskylä,2017,338,34.2,https://www.topuniversities.com/universities/university-jyvaskyla,Finland,Jyväskylä,Europe,Public,7,M
Massey University,2017,340,34.1,https://www.topuniversities.com/universities/massey-university,New Zealand,Palmerston North,Oceania,Public,9,M
James Cook University,2017,340,34.1,https://www.topuniversities.com/universities/james-cook-university,Australia,Townsville,Oceania,Public,11,M
University at Buffalo SUNY,2017,342,34,https://www.topuniversities.com/universities/university-buffalo-suny,United States,Buffalo,North America,Public,19,L
Lincoln University ,2017,343,33.9,https://www.topuniversities.com/universities/lincoln-university,New Zealand,Lincoln,Oceania,Public,9,S
University of Hawaiʻi at Mānoa,2017,343,33.9,https://www.topuniversities.com/universities/university-hawaii-manoa,United States,Honolulu,North America,Public,9,L
Brunel University London,2017,345,33.8,https://www.topuniversities.com/universities/brunel-university-london,United Kingdom,,Europe,Public,16,L
L.N. Gumilyov Eurasian National University (ENU),2017,345,33.8,https://www.topuniversities.com/universities/ln-gumilyov-eurasian-national-university-enu,Kazakhstan,Nur-Sultan,Asia,Public,5,L
University of Cologne,2017,347,33.6,https://www.topuniversities.com/universities/university-cologne,Germany,Cologne,Europe,Public,11,XL
University of Tartu,2017,347,33.6,https://www.topuniversities.com/universities/university-tartu,Estonia,Tartu,Europe,Public,7,M
University Ulm,2017,347,31.4,https://www.topuniversities.com/universities/university-ulm,Germany,Ulm,Europe,Public,7,M
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),2017,350,33.4,https://www.topuniversities.com/universities/moscow-institute-physics-technology-mipt-moscow-phystech,Russia,Dolgoprudny,Europe,Public,5,M
MGIMO University,2017,350,31,https://www.topuniversities.com/universities/mgimo-university,Russia,Moscow,Europe,Public,4,M
Universität Konstanz,2017,352,33.2,https://www.topuniversities.com/universities/universitat-konstanz,Germany,Konstanz,Europe,Public,11,M
Universidad de Belgrano,2017,352,33.2,https://www.topuniversities.com/universities/universidad-de-belgrano,Argentina,Buenos Aires,Latin America,Private,6,M
Belarusian State University,2017,354,33,https://www.topuniversities.com/universities/belarusian-state-university,Belarus,Minsk,Europe,Public,5,L
Deakin University,2017,355,32.9,https://www.topuniversities.com/universities/deakin-university,Australia,Geelong,Oceania,Public,23,XL
"Université Paris-Dauphine, Université PSL",2017,356,33.4,https://www.topuniversities.com/universities/universite-paris-dauphine-universite-psl,France,Paris,Europe,Public,12,M
Aston University,2017,358,32.7,https://www.topuniversities.com/universities/aston-university,United Kingdom,Birmingham,Europe,Public,16,M
University of Witwatersrand,2017,359,32.6,https://www.topuniversities.com/universities/university-witwatersrand,South Africa,Johannesburg,Africa,Public,15,L
Oxford Brookes University,2017,359,32.6,https://www.topuniversities.com/universities/oxford-brookes-university,United Kingdom,,Europe,Public,15,L
Virginia Polytechnic Institute and State University,2017,361,32.4,https://www.topuniversities.com/universities/virginia-polytechnic-institute-state-university,United States,Blacksburg,North America,Public,12,XL
Northeastern University,2017,361,32.4,https://www.topuniversities.com/universities/northeastern-university,United States,Boston,North America,Private,12,L
George Washington University,2017,363,32.3,https://www.topuniversities.com/universities/george-washington-university,United States,Ashburn,North America,Private,11,L
Universität Jena,2017,363,32.3,https://www.topuniversities.com/universities/universitat-jena,Germany,Jena,Europe,Public,4,L
The American University in Cairo,2017,365,32.2,https://www.topuniversities.com/universities/american-university-cairo,Egypt,Cairo,Africa,Private,10,M
University of Warsaw ,2017,366,32.1,https://www.topuniversities.com/universities/university-warsaw,Poland,Warsaw,Europe,Public,10,XL
Universidade Nova de Lisboa,2017,366,32.1,https://www.topuniversities.com/universities/universidade-nova-de-lisboa,Portugal,Lisbon,Europe,Public,12,L
University of Kent,2017,366,32.1,https://www.topuniversities.com/universities/university-kent,United Kingdom,Paris,Europe,Public,13,L
Kobe University,2017,369,32,https://www.topuniversities.com/universities/kobe-university,Japan,Kobe City,Asia,Public,8,L
University of Milan,2017,370,31.9,https://www.topuniversities.com/universities/university-milan,Italy,Milan,Europe,Public,20,XL
University of Tasmania,2017,370,31.9,https://www.topuniversities.com/universities/university-tasmania,Australia,Hobart,Oceania,Public,13,L
Université Laval,2017,372,31.8,https://www.topuniversities.com/universities/universite-laval,Canada,Québec,North America,Public,11,L
University of Kansas,2017,373,31.7,https://www.topuniversities.com/universities/university-kansas,United States,Lawrence,North America,Public,7,L
University of the Philippines,2017,374,31.5,https://www.topuniversities.com/universities/university-philippines,Philippines,Quezon City,Asia,Public,9,XL
Aalborg University,2017,374,31.5,https://www.topuniversities.com/universities/aalborg-university,Denmark,Aalborg,Europe,Public,10,L
"University of Colorado, Denver ",2017,374,31.5,https://www.topuniversities.com/universities/university-colorado-denver,United States,Denver,North America,Public,3,L
Université Paris Descartes,2017,377,,https://www.topuniversities.com/universities/universite-paris-descartes,France,Paris ,Europe,Public,17,XL
Tomsk State University,2017,377,31.4,https://www.topuniversities.com/universities/tomsk-state-university,Russia,Tomsk,Europe,Public,5,M
University of Tromsø The Arctic University of Norway,2017,377,31.4,https://www.topuniversities.com/universities/university-tromso-arctic-university-norway,Norway,Tromsø,Europe,Public,7,L
Dublin City University,2017,380,31.3,https://www.topuniversities.com/universities/dublin-city-university,Ireland,Dublin,Europe,Public,11,L
University of Texas Dallas,2017,380,31.3,https://www.topuniversities.com/universities/university-texas-dallas,United States,Richardson,North America,Public,22,L
University of Eastern Finland,2017,382,31.2,https://www.topuniversities.com/universities/university-eastern-finland,Finland,Kuopio,Europe,Public,10,M
V. N. Karazin Kharkiv National University,2017,382,31.2,https://www.topuniversities.com/universities/v-n-karazin-kharkiv-national-university,Ukraine,Kharkiv,Europe,Public,8,L
American University,2017,384,31.1,https://www.topuniversities.com/universities/american-university,United States,Washington D.C.,North America,Private,11,M
University of Stirling,2017,385,31,https://www.topuniversities.com/universities/university-stirling,United Kingdom,Stirling,Europe,Public,14,M
Colorado State University,2017,386,30.9,https://www.topuniversities.com/universities/colorado-state-university,United States,Fort Collins,North America,Public,8,L
Chung-Ang University (CAU),2017,386,30.9,https://www.topuniversities.com/universities/chung-ang-university-cau,South Korea,Seoul,Asia,Private,8,L
La Trobe University,2017,386,30.9,https://www.topuniversities.com/universities/la-trobe-university,Australia,Melbourne,Oceania,Public,20,L
Beijing Institute of Technology,2017,389,30.8,https://www.topuniversities.com/universities/beijing-institute-technology,China (Mainland),Beijing,Asia,Public,11,XL
"Stony Brook University, State University of New York",2017,390,30.7,https://www.topuniversities.com/universities/stony-brook-university-state-university-new-york,United States,Stony Brook,North America,Public,11,L
Swansea University,2017,390,30.7,https://www.topuniversities.com/universities/swansea-university,United Kingdom,Swansea,Europe,Public,11,L
University of Southern Denmark (SDU),2017,390,30.7,https://www.topuniversities.com/universities/university-southern-denmark-sdu,Denmark,Odense,Europe,Public,10,L
University of Iowa,2017,393,30.6,https://www.topuniversities.com/universities/university-iowa,United States,Iowa City,North America,Public,10,L
Qatar University,2017,393,30.6,https://www.topuniversities.com/universities/qatar-university,Qatar,Doha,Asia,Public,8,M
Stellenbosch University,2017,395,30.5,https://www.topuniversities.com/universities/stellenbosch-university,South Africa,Stellenbosch,Africa,Public,25,L
Washington State University,2017,395,30.5,https://www.topuniversities.com/universities/washington-state-university,United States,Pullman,North America,Public,14,L
National Sun Yat-sen University,2017,395,30.5,https://www.topuniversities.com/universities/national-sun-yat-sen-university,Taiwan,Kaohsiung City,Asia,Public,11,M
National Technical University of Athens,2017,395,30.5,https://www.topuniversities.com/universities/national-technical-university-athens,Greece,Athens,Europe,Public,20,L
Indian Institute of Technology Roorkee (IITR),2017,399,30.4,https://www.topuniversities.com/universities/indian-institute-technology-roorkee-iitr,India,Roorkee,Asia,Public,17,M
Leibniz University Hannover,2017,400,30.3,https://www.topuniversities.com/universities/leibniz-university-hannover,Germany,Hanover,Europe,Public,10,L
National Research Tomsk Polytechnic University,2017,400,30.3,https://www.topuniversities.com/universities/national-research-tomsk-polytechnic-university,Russia,,Europe,Public,6,M
